tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	country	location_begin_lon	er_location_name	location_end_lat	location_begin_lat	location_end_lon
Laurentia	Land Section	This study	North America	Canada	272.34	Simpson Island	48.7363	48.8122	272.30
>>>>>>>>>>
tab 	er_samples
sample_dip	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	er_location_name	sample_type	magic_method_codes	sample_azimuth	sample_lon	sample_class
-91	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.59	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	243.00	272.34	Igneous : Extrusive
-99	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.6	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	294.00	272.34	Igneous : Extrusive
-102	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.61	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	276.00	272.34	Igneous : Extrusive
-24	This study	Basalt	SI1(58.1 to 64.1)	SI1-60.59	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	254.00	272.34	Igneous : Extrusive
-31	This study	Basalt	SI1(58.1 to 64.1)	SI1-60.6	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	239.00	272.34	Igneous : Extrusive
-64	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.1	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	219.00	272.34	Igneous : Extrusive
-77	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.13	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	286.00	272.34	Igneous : Extrusive
-67	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.15	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	216.00	272.34	Igneous : Extrusive
-73	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.2	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	219.00	272.34	Igneous : Extrusive
-71	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.73	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	256.00	272.34	Igneous : Extrusive
-72	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.78	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	261.00	272.34	Igneous : Extrusive
-77	This study	Basalt	SI1(58.1 to 64.1)	SI1-61.8	oriented core	48.8086	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	254.00	272.34	Igneous : Extrusive
